,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,pib,pib_lower,pib_upper,reformaisr,reformaisr_lower,reformaisr_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
36,2011-01-01,-352144.4875268872,225188.5515511784,286070.3744146942,-352144.4875268872,-352144.4875268872,605829.2984021793,605829.2984021793,605829.2984021793,-10503.703739830911,-10503.703739830911,-10503.703739830911,-10503.703739830911,-10503.703739830911,-10503.703739830911,0.0,0.0,0.0,616333.0021420101,616333.0021420101,616333.0021420101,0.0,0.0,0.0,253684.81087529205
37,2011-04-01,-350969.5466862766,156818.04827283073,217517.7010035227,-350969.5466862766,-350969.5466862766,537501.9414308468,537501.9414308468,537501.9414308468,-4284.390503238192,-4284.390503238192,-4284.390503238192,-4284.390503238192,-4284.390503238192,-4284.390503238192,0.0,0.0,0.0,541786.331934085,541786.331934085,541786.331934085,0.0,0.0,0.0,186532.3947445702
38,2011-07-01,-349781.55093944777,118022.02655187703,178147.3084572338,-349781.55093944777,-349781.55093944777,498252.7416037677,498252.7416037677,498252.7416037677,-2907.612596697433,-2907.612596697433,-2907.612596697433,-2907.612596697433,-2907.612596697433,-2907.612596697433,0.0,0.0,0.0,501160.35420046514,501160.35420046514,501160.35420046514,0.0,0.0,0.0,148471.1906643199
39,2011-10-01,-348580.50029430207,187380.4468934165,247449.22450508518,-348580.50029430207,-348580.50029430207,565812.3858900709,565812.3858900709,565812.3858900709,4569.5539514827615,4569.5539514827615,4569.5539514827615,4569.5539514827615,4569.5539514827615,4569.5539514827615,0.0,0.0,0.0,561242.8319385883,561242.8319385883,561242.8319385883,0.0,0.0,0.0,217231.88559576886
40,2012-01-01,-347379.44971813756,239978.65245428466,302382.4315938871,-347379.44971813756,-347379.44971813756,618070.4902488783,618070.4902488783,618070.4902488783,-1765.2153902594846,-1765.2153902594846,-1765.2153902594846,-1765.2153902594846,-1765.2153902594846,-1765.2153902594846,0.0,0.0,0.0,619835.7056391378,619835.7056391378,619835.7056391378,0.0,0.0,0.0,270691.0405307407
41,2012-04-01,-346191.45403954,173381.6306980914,237040.63916581275,-346191.45403954,-346191.45403954,552379.2433635178,552379.2433635178,552379.2433635178,3203.67777895199,3203.67777895199,3203.67777895199,3203.67777895199,3203.67777895199,3203.67777895199,0.0,0.0,0.0,549175.5655845657,549175.5655845657,549175.5655845657,0.0,0.0,0.0,206187.78932397778
42,2012-07-01,-345003.4584301356,131525.27739337846,198916.9912660221,-345003.4584301356,-345003.4584301356,509490.52745931037,509490.52745931037,509490.52745931037,2293.85317301289,2293.85317301289,2293.85317301289,2293.85317301289,2293.85317301289,2293.85317301289,0.0,0.0,0.0,507196.6742862975,507196.6742862975,507196.6742862975,0.0,0.0,0.0,164487.06902917475
43,2012-10-01,-343802.40792392456,198019.49354256058,264680.941010379,-343802.40792392456,-343802.40792392456,576221.5987496141,576221.5987496141,576221.5987496141,10654.969344447314,10654.969344447314,10654.969344447314,10654.969344447314,10654.969344447314,10654.969344447314,0.0,0.0,0.0,565566.6294051667,565566.6294051667,565566.6294051667,0.0,0.0,0.0,232419.19082568953
44,2013-01-01,-342601.35741771356,233100.7926368501,294652.94659710093,-342601.35741771356,-342601.35741771356,607247.3445094345,607247.3445094345,607247.3445094345,-546.0634050288976,-546.0634050288976,-546.0634050288976,-546.0634050288976,-546.0634050288976,-546.0634050288976,0.0,0.0,0.0,607793.4079144634,607793.4079144634,607793.4079144634,0.0,0.0,0.0,264645.987091721
45,2013-04-01,-341426.4167714029,184086.53822108413,247355.06275335376,-341426.4167714029,-341426.4167714029,556808.0428198826,556808.0428198826,556808.0428198826,7279.083099821423,7279.083099821423,7279.083099821423,7279.083099821423,7279.083099821423,7279.083099821423,0.0,0.0,0.0,549528.9597200613,549528.9597200613,549528.9597200613,0.0,0.0,0.0,215381.62604847975
46,2013-07-01,-340238.4212290221,138461.23729933018,200272.40830232395,-340238.4212290221,-340238.4212290221,510388.203256535,510388.203256535,510388.203256535,5137.108081086468,5137.108081086468,5137.108081086468,5137.108081086468,5137.108081086468,5137.108081086468,0.0,0.0,0.0,505251.0951754485,505251.0951754485,505251.0951754485,0.0,0.0,0.0,170149.7820275129
47,2013-10-01,-339037.3731284199,208668.21106416846,272409.89268061996,-339037.3731284199,-339037.3731284199,579492.4950619447,579492.4950619447,579492.4950619447,13118.277153351733,13118.277153351733,13118.277153351733,13118.277153351733,13118.277153351733,13118.277153351733,0.0,0.0,0.0,566374.2179085929,566374.2179085929,566374.2179085929,0.0,0.0,0.0,240455.1219335248
