,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,pib,pib_lower,pib_upper,tasa iva,tasa iva_lower,tasa iva_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
43,2012-10-01,377659.6500695787,154705.79103425957,181816.8107098406,377659.6500695787,377659.6500695787,0.014340237943648413,0.014340237943648413,0.014340237943648413,-0.5532281628859537,-0.5532281628859537,-0.5532281628859537,0.022460379864890044,0.022460379864890044,0.022460379864890044,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.567568400829602,-0.567568400829602,-0.567568400829602,0.0,0.0,0.0,168727.69566543357
44,2013-01-01,379103.60848053836,117338.97674851824,143919.32001120565,379103.60848053836,379103.60848053836,-0.009271228434095464,-0.009271228434095464,-0.009271228434095464,-0.6571125562806939,-0.6571125562806939,-0.6571125562806939,-0.0011510865128538327,-0.0011510865128538327,-0.0011510865128538327,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6478413278465984,-0.6478413278465984,-0.6478413278465984,0.0,0.0,0.0,129989.86721665646
45,2013-04-01,380516.17649079184,137285.13717416613,163880.11529825153,380516.17649079184,380516.17649079184,0.007223963369431166,0.007223963369431166,0.007223963369431166,-0.6033060006336542,-0.6033060006336542,-0.6033060006336542,0.015344105290672797,0.015344105290672797,0.015344105290672797,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6105299640030855,-0.6105299640030855,-0.6105299640030855,0.0,0.0,0.0,150948.48387572248
46,2013-07-01,381944.4397011593,139949.29336132863,167772.6448416763,381944.4397011593,381944.4397011593,0.0027087394371386065,0.0027087394371386065,0.0027087394371386065,-0.5987014005453426,-0.5987014005453426,-0.5987014005453426,0.010828881358380237,0.010828881358380237,0.010828881358380237,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6014101399824812,-0.6014101399824812,-0.6014101399824812,0.0,0.0,0.0,153273.76872156907
47,2013-10-01,383388.398111828,153504.55346478013,180566.22432548963,383388.398111828,383388.398111828,0.01953282248552473,0.01953282248552473,0.01953282248552473,-0.5632901403769177,-0.5632901403769177,-0.5632901403769177,0.027652964406766362,0.027652964406766362,0.027652964406766362,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.5828229628624424,-0.5828229628624424,-0.5828229628624424,0.0,0.0,0.0,167429.4935205348
48,2014-01-01,384832.35652249673,128253.88536454157,155557.0038498516,384832.35652249673,384832.35652249673,0.002091127443096202,0.002091127443096202,0.002091127443096202,-0.6298577595572031,-0.6298577595572031,-0.6298577595572031,0.010211269364337833,0.010211269364337833,0.010211269364337833,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6319488870002994,-0.6319488870002994,-0.6319488870002994,0.0,0.0,0.0,142442.71063811812
49,2014-04-01,386244.9245329336,144063.9326223318,170552.75596403994,386244.9245329336,386244.9245329336,0.017026903296805923,0.017026903296805923,0.017026903296805923,-0.5915064701246718,-0.5915064701246718,-0.5915064701246718,0.025147045218047552,0.025147045218047552,0.025147045218047552,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6085333734214777,-0.6085333734214777,-0.6085333734214777,0.0,0.0,0.0,157778.5526188878
50,2014-07-01,387673.18774324516,144875.49076847892,171124.5907578727,387673.18774324516,387673.18774324516,0.01462359454283683,0.01462359454283683,0.01462359454283683,-0.5932702835006853,-0.5932702835006853,-0.5932702835006853,0.02274373646407846,0.02274373646407846,0.02274373646407846,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6078938780435221,-0.6078938780435221,-0.6078938780435221,0.0,0.0,0.0,157678.20574519568
51,2014-10-01,389117.14615367004,161708.05461074717,188350.5291490312,389117.14615367004,389117.14615367004,0.03411991934106213,0.03411991934106213,0.03411991934106213,-0.5505656730333659,-0.5505656730333659,-0.5505656730333659,0.04224006126230376,0.04224006126230376,0.04224006126230376,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.5846855923744281,-0.5846855923744281,-0.5846855923744281,0.0,0.0,0.0,174882.6026927521
52,2015-01-01,390561.10456412163,138348.72174093226,165546.94605221355,390561.10456412163,390561.10456412163,0.016173193687117976,0.016173193687117976,0.016173193687117976,-0.6106808999753711,-0.6106808999753711,-0.6106808999753711,0.02429333560835961,0.02429333560835961,0.02429333560835961,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6268540936624891,-0.6268540936624891,-0.6268540936624891,0.0,0.0,0.0,152052.8977335288
53,2015-04-01,391973.672574346,154746.25589442503,180417.08609662938,391973.672574346,391973.672574346,0.03032894300528738,0.03032894300528738,0.03032894300528738,-0.5719628509682064,-0.5719628509682064,-0.5719628509682064,0.03844908492652901,0.03844908492652901,0.03844908492652901,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6022917939734937,-0.6022917939734937,-0.6022917939734937,0.0,0.0,0.0,167779.2933042448
54,2015-07-01,393401.935784684,147030.59923319553,172758.88662556728,393401.935784684,393401.935784684,0.03213825127372399,0.03213825127372399,0.03213825127372399,-0.5926412786333962,-0.5926412786333962,-0.5926412786333962,0.040258393194965617,0.040258393194965617,0.040258393194965617,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6247795299071202,-0.6247795299071202,-0.6247795299071202,0.0,0.0,0.0,160255.70954439565
55,2015-10-01,394845.894195233,174114.19643947115,198825.05259928634,394845.894195233,394845.894195233,0.0458744058866108,0.0458744058866108,0.0458744058866108,-0.5272815699813737,-0.5272815699813737,-0.5272815699813737,0.05399454780785243,0.05399454780785243,0.05399454780785243,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.5731559758679845,-0.5731559758679845,-0.5731559758679845,0.0,0.0,0.0,186650.9312032712
56,2016-01-01,396289.852605782,143352.4357222156,169732.2490969365,396289.852605782,396289.852605782,0.02789123689638271,0.02789123689638271,0.02789123689638271,-0.6046317139997922,-0.6046317139997922,-0.6046317139997922,0.03601137881762434,0.03601137881762434,0.03601137881762434,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6325229508961749,-0.6325229508961749,-0.6325229508961749,0.0,0.0,0.0,156680.439784023
57,2016-04-01,397718.11581669847,160580.17407014695,187031.5797911814,397718.11581669847,397718.11581669847,0.04368185273621598,0.04368185273621598,0.04368185273621598,-0.564579341638656,-0.564579341638656,-0.564579341638656,0.051801994657457606,0.051801994657457606,0.051801994657457606,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6082611943748719,-0.6082611943748719,-0.6082611943748719,0.0,0.0,0.0,173174.6838311401
58,2016-07-01,399146.37902761484,159725.10775921855,186879.90218278137,399146.37902761484,399146.37902761484,0.03968986875220171,0.03968986875220171,0.03968986875220171,-0.5656137809306855,-0.5656137809306855,-0.5656137809306855,0.047810010673443336,0.047810010673443336,0.047810010673443336,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6053036496828872,-0.6053036496828872,-0.6053036496828872,0.0,0.0,0.0,173383.68644101315
59,2016-10-01,400590.33743865124,183308.04245778784,209998.00711801974,400590.33743865124,400590.33743865124,0.05999609593516037,0.05999609593516037,0.05999609593516037,-0.5075723048944079,-0.5075723048944079,-0.5075723048944079,0.068116237856402,0.068116237856402,0.068116237856402,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.5675684008295683,-0.5675684008295683,-0.5675684008295683,0.0,0.0,0.0,197261.77654648642
60,2017-01-01,402034.295849362,145650.55313885355,171302.43387428453,402034.295849362,402034.295849362,0.0430881533418614,0.0430881533418614,0.0430881533418614,-0.6047531745054111,-0.6047531745054111,-0.6047531745054111,0.051208295263103026,0.051208295263103026,0.051208295263103026,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6478413278472726,-0.6478413278472726,-0.6478413278472726,0.0,0.0,0.0,158902.7791744127
61,2017-04-01,403446.8638598399,164717.97906120308,190928.74095259848,403446.8638598399,403446.8638598399,0.05150411213421128,0.05150411213421128,0.05150411213421128,-0.5590258518688489,-0.5590258518688489,-0.5590258518688489,0.05962425405545291,0.05962425405545291,0.05962425405545291,-0.00812014192124163,-0.00812014192124163,-0.00812014192124163,-0.6105299640030601,-0.6105299640030601,-0.6105299640030601,0.0,0.0,0.0,177909.6371067774
